Timestamp,Price,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore,Load Forecast (MW),Actual Aggregated,Hour
2022-01-01 00:00:00+01:00,124.7,20.5,1719.25,2373.75,0.0,485.0,2565.75,0.0,408.5,1865.5,1564.25,11532.25,11543.0,0
2022-01-01 01:00:00+01:00,124.7,21.25,1828.0,2238.25,0.0,485.0,2419.75,0.0,407.25,1839.5,1477.75,11085.0,10941.0,1
2022-01-01 02:00:00+01:00,134.0,21.25,1961.5,2110.0,0.0,485.0,2405.25,0.0,407.75,1429.25,1369.0,10805.5,10757.0,2
2022-01-01 03:00:00+01:00,58.8,21.25,1668.75,1894.0,0.0,485.0,2155.75,0.0,408.25,1349.25,1403.0,10676.25,10802.0,3
2022-01-01 04:00:00+01:00,37.67,21.5,1659.5,1719.5,0.0,485.0,2108.75,0.0,411.25,1436.0,1410.0,10644.0,10765.0,4
2022-01-01 05:00:00+01:00,39.7,21.0,1671.5,1662.75,0.0,485.0,2076.25,0.0,412.75,1405.75,1293.0,10802.25,10904.0,5
2022-01-01 06:00:00+01:00,40.59,21.5,1480.0,1667.75,0.0,485.0,1812.5,0.0,420.5,1564.25,1218.5,11163.0,11282.0,6
2022-01-01 07:00:00+01:00,43.26,20.75,1645.75,1667.25,0.0,485.0,1909.25,0.0,422.25,1576.5,1016.5,11867.25,12177.0,7
2022-01-01 08:00:00+01:00,49.66,21.0,1663.75,1687.0,0.0,485.0,1756.5,0.0,415.5,1465.75,1114.5,12739.5,13198.0,8
2022-01-01 09:00:00+01:00,70.05,21.0,1597.75,1729.0,0.0,485.0,2051.0,5.75,415.25,1503.25,1200.25,13269.0,13645.0,9
2022-01-01 10:00:00+01:00,76.79,21.0,1495.0,1730.0,0.0,485.0,2242.75,23.5,418.0,1858.25,1300.75,13158.25,13751.0,10
2022-01-01 11:00:00+01:00,84.1,20.75,1629.75,1731.25,0.0,485.0,2744.5,35.25,420.25,2041.0,1382.25,12901.75,13784.0,11
2022-01-01 12:00:00+01:00,94.74,21.0,1773.75,1740.0,0.0,485.0,3151.25,39.25,420.25,2153.5,1422.75,12721.75,13440.0,12
2022-01-01 13:00:00+01:00,96.8,20.75,1801.75,1767.5,0.0,485.0,3343.75,31.5,416.75,2178.0,1516.5,12621.75,13216.0,13
2022-01-01 14:00:00+01:00,97.17,21.0,1748.0,1885.25,0.0,485.0,3249.5,21.75,418.5,2186.5,1549.0,12730.75,13366.0,14
2022-01-01 15:00:00+01:00,101.27,20.0,1759.5,1961.75,0.0,484.5,3072.75,15.5,417.75,2141.0,1577.75,13133.75,13336.0,15
2022-01-01 16:00:00+01:00,126.6,20.5,1990.25,2166.5,0.0,484.0,3347.5,1.25,420.0,1951.75,1635.75,13844.5,13826.0,16
2022-01-01 17:00:00+01:00,149.97,21.0,2023.25,2195.0,0.0,484.0,4052.75,0.0,417.0,2056.0,1747.5,14728.5,14407.0,17
2022-01-01 18:00:00+01:00,146.33,21.0,1989.5,2172.5,0.0,484.0,4104.5,0.0,413.25,2182.25,1795.25,14577.5,14648.0,18
2022-01-01 19:00:00+01:00,140.28,20.75,1914.25,2090.0,0.0,484.0,3932.75,0.0,419.75,2215.25,1799.25,13935.75,13494.0,19
2022-01-01 20:00:00+01:00,121.88,21.0,1774.75,1952.25,0.0,484.0,3580.25,0.0,424.0,2172.5,1721.0,13413.5,11962.0,20
2022-01-01 21:00:00+01:00,102.61,21.0,1741.0,1771.25,0.0,484.0,2932.75,0.0,422.5,1938.25,1592.5,12864.0,11321.0,21
2022-01-01 22:00:00+01:00,97.46,21.0,1873.75,1755.25,0.0,485.0,2741.5,0.0,424.5,1937.75,1462.75,12399.0,10757.0,22
2022-01-01 23:00:00+01:00,85.16,21.0,1822.75,1766.0,0.0,485.0,2868.0,0.0,427.5,2072.0,1391.5,11811.0,10481.0,23
2022-01-02 00:00:00+01:00,57.08,20.5,1525.0,1754.0,0.0,485.25,2513.75,0.0,429.5,2039.75,1425.25,11287.0,10165.5,0
2022-01-02 01:00:00+01:00,52.59,20.5,1494.5,1705.0,0.0,485.5,2608.0,0.0,417.0,2049.0,1629.25,10800.25,9992.5,1
2022-01-02 02:00:00+01:00,48.97,20.25,1496.0,1656.5,0.0,485.25,2570.25,0.0,418.75,2152.0,1637.5,10536.25,9876.0,2
2022-01-02 03:00:00+01:00,34.94,21.0,1516.75,1545.25,0.0,485.25,2634.0,0.0,415.75,2202.0,1542.5,10382.25,9739.0,3
2022-01-02 04:00:00+01:00,29.56,21.0,1508.75,1482.25,0.0,485.25,2802.75,0.0,423.0,2157.25,1620.5,10369.5,9675.5,4
2022-01-02 05:00:00+01:00,33.97,21.0,1496.75,1491.25,0.0,485.0,2919.0,0.0,420.0,2037.5,1761.0,10502.5,9746.25,5
2022-01-02 06:00:00+01:00,34.52,20.75,1522.0,1480.25,0.0,485.0,2945.75,0.0,426.5,1941.75,1778.5,10735.0,9663.25,6
2022-01-02 07:00:00+01:00,41.8,20.75,1531.0,1483.75,0.0,485.0,3076.25,0.0,430.75,2109.75,1813.25,11170.5,9860.75,7
2022-01-02 08:00:00+01:00,48.95,21.0,1547.75,1570.5,0.0,485.0,3266.25,0.0,423.25,2108.75,1914.0,11870.0,10228.5,8
2022-01-02 09:00:00+01:00,60.01,21.0,1557.0,1633.25,0.0,485.0,3646.75,1.5,424.25,2110.25,2053.0,12499.25,10531.75,9
2022-01-02 10:00:00+01:00,70.09,21.0,1578.5,1670.5,0.0,485.0,3954.5,13.5,424.5,2147.75,2018.0,12783.0,11003.5,10
2022-01-02 11:00:00+01:00,66.26,21.0,1567.5,1672.25,0.0,485.0,4274.0,18.0,423.5,2204.5,1978.0,12842.5,11241.75,11
2022-01-02 12:00:00+01:00,64.54,21.0,1622.5,1665.25,0.0,485.5,4579.5,17.75,421.0,2177.5,2107.75,12968.75,11415.25,12
2022-01-02 13:00:00+01:00,46.96,21.0,1634.25,1663.0,0.0,486.0,4635.0,19.75,426.75,2135.5,2081.5,12986.0,11435.25,13
2022-01-02 14:00:00+01:00,49.06,21.0,1577.25,1692.75,0.0,486.0,4121.0,22.25,426.0,2172.5,1970.25,12989.0,11407.75,14
2022-01-02 15:00:00+01:00,74.99,20.5,1624.75,1702.75,0.0,486.0,3637.25,10.0,425.25,2200.5,1936.0,13112.5,11445.75,15
2022-01-02 16:00:00+01:00,85.0,20.5,1684.5,1783.25,0.0,485.25,3647.25,0.5,421.75,2115.0,1802.0,13546.75,11654.5,16
2022-01-02 17:00:00+01:00,100.0,21.0,1780.25,1980.75,0.0,485.0,3959.25,0.0,413.0,2185.0,1765.75,14382.75,12602.75,17
2022-01-02 18:00:00+01:00,109.9,21.0,1865.0,2171.0,0.0,484.75,4275.5,0.0,415.25,2179.75,1695.5,14238.0,12870.75,18
2022-01-02 19:00:00+01:00,99.9,21.0,1720.0,2036.5,0.0,484.0,3734.75,0.0,401.0,2209.5,1701.25,13728.25,12467.5,19
2022-01-02 20:00:00+01:00,77.0,21.0,1677.75,1835.75,0.0,484.0,3583.5,0.0,405.0,2162.5,1798.25,13165.75,12268.5,20
2022-01-02 21:00:00+01:00,46.16,21.0,1667.0,1694.25,0.0,484.0,3415.5,0.0,402.75,2066.0,1946.75,12627.75,11382.0,21
2022-01-02 22:00:00+01:00,46.29,21.0,1610.75,1649.0,0.0,484.25,3506.0,0.0,394.75,2097.5,2058.5,12083.5,10649.0,22
2022-01-02 23:00:00+01:00,32.93,21.0,1592.0,1486.25,0.0,484.75,3518.75,0.0,393.0,2097.5,2081.5,11504.0,9892.25,23
2022-01-03 00:00:00+01:00,0.31,20.5,1668.5,1225.5,0.0,484.5,3849.5,0.0,384.25,2162.75,2116.5,10968.25,9205.25,0
2022-01-03 01:00:00+01:00,-0.01,20.5,1659.75,1190.25,0.0,485.0,3830.5,0.0,384.75,1653.75,2132.25,10669.75,8975.0,1
2022-01-03 02:00:00+01:00,-0.07,21.0,1663.0,1172.25,0.0,485.0,3820.25,0.0,392.5,1643.25,2136.0,10483.75,8934.5,2
2022-01-03 03:00:00+01:00,-1.05,21.0,1654.5,1178.25,0.0,485.0,3681.75,0.0,381.5,1640.0,2037.5,10471.25,8879.0,3
2022-01-03 04:00:00+01:00,-1.0,21.0,1719.0,1171.75,0.0,485.0,3655.25,0.0,378.25,1704.5,2002.0,10603.25,8927.25,4
2022-01-03 05:00:00+01:00,0.0,21.0,1730.5,1200.0,0.0,485.0,3578.25,0.0,387.5,1910.25,2058.5,11079.5,9565.5,5
2022-01-03 06:00:00+01:00,35.97,21.0,1596.5,1253.5,0.0,484.5,3588.0,0.0,378.5,2145.5,2032.5,12108.75,11633.5,6
2022-01-03 07:00:00+01:00,90.34,21.0,1643.75,1575.5,0.0,484.25,3692.25,0.0,375.0,2150.25,2026.75,13606.25,13394.0,7
2022-01-03 08:00:00+01:00,120.0,20.75,1722.75,1841.5,0.0,483.75,3819.5,0.0,393.5,2174.5,2032.5,14867.5,13883.25,8
2022-01-03 09:00:00+01:00,129.9,20.75,1730.75,1868.25,0.0,484.0,3938.5,6.75,384.0,2206.75,2030.0,15248.5,14248.75,9
2022-01-03 10:00:00+01:00,119.04,21.0,1777.75,1885.5,0.0,484.75,4270.5,26.5,379.25,2204.75,2022.0,15109.5,14601.25,10
2022-01-03 11:00:00+01:00,119.19,21.0,1796.5,1955.25,0.0,485.0,4792.75,48.5,362.75,2203.5,2019.5,14910.5,14394.0,11
2022-01-03 12:00:00+01:00,120.0,21.0,1754.5,2243.75,0.0,485.0,4991.75,61.75,363.25,2211.75,2032.0,14732.5,14155.0,12
2022-01-03 13:00:00+01:00,122.62,20.75,1892.75,2331.5,0.0,485.0,4859.0,63.25,356.25,2207.25,2022.25,14682.5,14114.25,13
2022-01-03 14:00:00+01:00,138.18,20.75,1992.0,2276.75,0.0,485.0,4470.0,35.25,359.25,2211.5,2013.75,14782.75,14045.5,14
2022-01-03 15:00:00+01:00,143.1,20.75,2122.5,2321.25,0.0,485.0,4200.75,10.5,364.75,2210.25,1921.25,15078.75,14125.75,15
2022-01-03 16:00:00+01:00,136.0,21.0,2348.0,2419.0,0.0,485.25,4509.75,0.5,364.5,2197.75,1883.25,15651.25,14455.25,16
