time,temperature_2m,cloudcover,wind_speed_10m,shortwave_radiation,sunshine_duration,windgusts_10m
2022-01-01 00:00:00,11.4,100,20.1,0.0,0.0,39.2
2022-01-01 01:00:00,11.4,100,19.0,0.0,0.0,35.3
2022-01-01 02:00:00,10.7,100,18.4,0.0,0.0,33.8
2022-01-01 03:00:00,11.1,100,16.6,0.0,0.0,33.1
2022-01-01 04:00:00,10.5,63,17.6,0.0,0.0,30.6
2022-01-01 05:00:00,10.3,56,16.6,0.0,0.0,30.6
2022-01-01 06:00:00,10.2,100,16.6,0.0,0.0,28.8
2022-01-01 07:00:00,10.5,100,16.4,0.0,0.0,28.8
2022-01-01 08:00:00,10.9,100,16.7,0.0,0.0,28.8
2022-01-01 09:00:00,11.3,100,16.4,0.0,0.0,28.8
2022-01-01 10:00:00,11.5,100,16.3,0.0,0.0,28.4
2022-01-01 11:00:00,11.9,100,18.1,16.0,0.0,31.3
2022-01-01 12:00:00,12.2,100,20.0,78.0,0.0,34.6
2022-01-01 13:00:00,12.7,100,20.6,111.0,0.0,36.0
2022-01-01 14:00:00,12.9,100,19.3,140.0,663.19,36.4
2022-01-01 15:00:00,12.9,72,15.1,156.0,3600.0,33.5
2022-01-01 16:00:00,13.2,99,21.8,134.0,3600.0,39.2
2022-01-01 17:00:00,12.8,100,18.7,62.0,2492.9,38.2
2022-01-01 18:00:00,12.5,100,18.3,5.0,0.0,32.4
2022-01-01 19:00:00,12.4,100,18.9,0.0,0.0,32.8
2022-01-01 20:00:00,12.0,100,19.2,0.0,0.0,33.5
2022-01-01 21:00:00,12.0,100,19.6,0.0,0.0,33.8
2022-01-01 22:00:00,11.7,100,18.7,0.0,0.0,34.2
2022-01-01 23:00:00,11.9,100,18.4,0.0,0.0,32.0
2022-01-02 00:00:00,12.0,100,19.3,0.0,0.0,33.5
2022-01-02 01:00:00,11.4,100,19.8,0.0,0.0,33.5
2022-01-02 02:00:00,11.6,100,18.1,0.0,0.0,34.6
2022-01-02 03:00:00,11.8,100,22.7,0.0,0.0,39.6
2022-01-02 04:00:00,12.6,100,25.6,0.0,0.0,43.9
2022-01-02 05:00:00,13.2,100,26.8,0.0,0.0,46.8
2022-01-02 06:00:00,12.5,100,24.5,0.0,0.0,46.8
2022-01-02 07:00:00,12.1,100,23.2,0.0,0.0,52.2
2022-01-02 08:00:00,11.7,100,23.0,0.0,0.0,40.7
