#{"t_start": 1751977408.557626, "env_id": "None"}
r,l,t
-73368.877174,16151,25.447637
-72779.027907,16151,40.060764
-71719.801191,16151,58.644085
-70793.239942,16151,72.991992
-70439.954945,16151,88.387351
-68874.707793,16151,109.811668
-68292.010119,16151,125.248586
-67613.870864,16151,141.291038
-66198.238773,16151,158.10373
-65734.018123,16151,173.119205
-65274.253679,16151,191.251066
-65015.744154,16151,206.357729
-63776.214975,16151,223.833943
-63015.179201,16151,238.888858
-61581.036256,16151,253.819206
-61133.016609,16151,269.740253
-61377.809751,16151,285.806319
-60778.658122,16151,302.00065
-60612.859541,16151,318.47789
-60244.315485,16151,334.782649
-60214.911997,16151,351.92926
-59771.408832,16151,367.971558
-60271.680515,16151,383.342807
-60233.083982,16151,403.315872
-59862.277843,16151,419.08594
-60086.592649,16151,433.900655
-59998.713079,16151,448.919464
-60180.628513,16151,466.258215
-60093.350273,16151,481.847862
-60674.288472,16151,497.093953
-60335.228286,16151,513.124079
-59926.057821,16151,529.60243
-60070.185053,16151,544.993999
-60535.932281,16151,561.252999
-60559.571951,16151,578.071964
-60158.929406,16151,593.517812
-60293.274462,16151,608.88283
-60558.916422,16151,624.211333
-60544.970274,16151,641.089977
-60178.735845,16151,655.940733
-59835.875749,16151,671.015591
-60126.788234,16151,685.899478
-59898.371998,16151,702.342815
-60146.878094,16151,718.986557
-60861.073739,16151,734.4501
-60593.088056,16151,750.039069
-60385.472752,16151,767.007522
-60467.651912,16151,782.54581
-60462.321763,16151,797.752127
-60445.015995,16151,812.696195
-60464.291182,16151,829.478118
-59518.004066,16151,844.558882
-59579.977334,16151,859.757941
-60152.844628,16151,875.60155
-59868.904226,16151,892.534482
-59961.587871,16151,907.725682
-60373.81455,16151,924.020647
-60235.19622,16151,941.47778
-60616.390245,16151,956.8696
-60283.260618,16151,972.297262
-60152.834233,16151,988.325189
-59932.935714,16151,1005.069565
-60346.66929,16151,1020.667437
-60090.198334,16151,1035.487364
-60010.987794,16151,1050.516534
-59999.613906,16151,1067.464733
-60104.056389,16151,1082.152986
-59667.041142,16151,1097.339003
-59911.58661,16151,1111.996245
-60234.422255,16151,1128.464194
-60328.830133,16151,1143.179909
-59831.309304,16151,1158.174885
-60253.500515,16151,1172.716735
-60355.756278,16151,1188.563013
-60571.39307,16151,1203.772662
-60153.89265,16151,1218.439767
-60332.384493,16151,1233.259128
-59900.808787,16151,1248.943418
-60038.128891,16151,1264.359472
-60332.037748,16151,1279.03438
-60057.266993,16151,1294.350763
-60126.241943,16151,1313.088532
-60296.744415,16151,1327.882143
-60582.810507,16151,1343.95127
-60313.900136,16151,1360.586813
-60538.958885,16151,1377.148075
-60286.80661,16151,1393.387754
-60050.783063,16151,1408.787074
-60463.692747,16151,1425.545518
-60764.438527,16151,1441.620901
-60424.134221,16151,1456.696946
-60603.484736,16151,1471.979719
-60685.574115,16151,1488.823302
-60378.399376,16151,1504.145069
-60713.137995,16151,1519.677564
-60999.03114,16151,1534.756757
-60550.846764,16151,1551.319938
-60201.184095,16151,1566.484623
-60257.459262,16151,1581.39877
-60842.413746,16151,1596.682186
-61218.1734,16151,1612.798439
-60923.729615,16151,1628.400757
-60643.485539,16151,1643.550547
-60472.461442,16151,1660.439863
-60809.536728,16151,1675.768692
-60319.895,16151,1691.67621
-60604.391839,16151,1707.372953
-60426.411245,16151,1724.479651
-60747.080831,16151,1740.021082
-60670.264989,16151,1755.599663
-60834.71021,16151,1770.555969
-60427.890299,16151,1787.472135
-60828.403336,16151,1802.325412
-61057.852068,16151,1817.351664
-60379.751203,16151,1833.036954
-60777.811693,16151,1850.087734
-60700.514698,16151,1864.067821
-60958.731727,16151,1879.423937
-60908.038537,16151,1899.457714
-60686.545401,16151,1914.053299
-60720.592199,16151,1928.232571
-60703.249716,16151,1943.052741
-60794.324814,16151,1960.33187
-60584.072687,16151,1977.006914
-60729.939603,16151,1992.559183
-61029.258842,16151,2009.09274
-61049.772088,16151,2025.287845
-60908.636881,16151,2041.615553
-60898.824084,16151,2057.287684
-60962.34927,16151,2073.497518
-60697.211799,16151,2089.499814
-60868.457687,16151,2105.517787
-61164.585722,16151,2120.520166
-60728.760415,16151,2136.51247
-60980.149844,16151,2152.995245
-60932.006305,16151,2168.724435
-60320.435823,16151,2186.722556
-60753.625849,16151,2206.221242
-60701.736271,16151,2222.793177
-61152.49837,16151,2245.394238
-60951.586246,16151,2273.266135
-60438.355845,16151,2303.938892
-61137.299558,16151,2330.162257
-60804.351637,16151,2347.229108
-60380.48571,16151,2365.775179
-61198.446511,16151,2382.624812
-61394.136973,16151,2398.445374
-61130.593254,16151,2416.940788
-60814.970195,16151,2432.873411
-61031.185582,16151,2449.101164
-60762.587235,16151,2464.890734
-60583.957047,16151,2483.555945
-60897.913119,16151,2499.368336
-61052.64198,16151,2515.835493
-60801.126172,16151,2534.083584
-60265.429795,16151,2550.478097
-61168.387968,16151,2566.233658
-60756.746523,16151,2582.356664
-60922.188197,16151,2607.650658
-60666.213728,16151,2627.055089
-60749.460521,16151,2643.097479
-61266.505204,16151,2660.254437
-60609.878756,16151,2675.389447
-60693.272277,16151,2691.51638
-60550.600223,16151,2706.748006
-60741.625507,16151,2724.244619
-60967.925093,16151,2739.295382
-61023.373703,16151,2755.695879
-60680.309625,16151,2773.11453
-60446.594953,16151,2788.241692
-60558.364381,16151,2804.440761
-60597.267765,16151,2819.803366
-60617.46271,16151,2837.188045
-60580.769277,16151,2852.627603
-60657.239847,16151,2868.821532
-60534.174547,16151,2884.614021
-60539.841547,16151,2902.230568
-60581.805621,16151,2918.753415
-60841.996809,16151,2934.889827
-60641.320532,16151,2951.085501
-60598.812363,16151,2967.357029
-60863.052519,16151,2982.441018
-60485.236059,16151,2999.544096
-60673.413705,16151,3016.711828
-60542.363231,16151,3032.166154
