#{"t_start": 1751983792.4486542, "env_id": "None"}
r,l,t
-72654.694841,16151,28.903992
-72570.163552,16151,45.265165
-72521.450457,16151,58.950542
-72403.330979,16151,71.46232
-71998.933096,16151,85.079324
-70728.880991,16151,97.373921
-69630.472565,16151,110.369036
-67989.619619,16151,123.858263
-66147.710764,16151,136.751298
-64863.441527,16151,150.681139
-65440.237364,16151,163.789574
-65513.678118,16151,177.027313
-65188.859473,16151,189.890087
-64335.48784,16151,204.685586
-64956.217495,16151,218.174069
-64734.698848,16151,240.646168
-63702.759805,16151,254.919443
-64053.407163,16151,271.267108
-64703.275754,16151,285.791585
-64860.527982,16151,307.306612
-64569.289363,16151,328.055349
-64233.002244,16151,340.998922
-63466.729138,16151,355.050816
-63743.215356,16151,368.003514
-64031.642658,16151,382.267899
-63908.243484,16151,397.444276
-64548.435096,16151,414.496136
-64457.655642,16151,429.878522
-64897.059884,16151,446.985993
-65234.85906,16151,463.437265
-64719.454102,16151,482.208744
-63886.675529,16151,500.04472
-63708.244104,16151,514.555949
-63916.393523,16151,527.021878
-63738.333285,16151,540.577119
-62814.096043,16151,557.24943
-63634.959748,16151,570.546088
-63682.408372,16151,583.47511
-64069.323417,16151,598.170481
-64608.015285,16151,612.387525
-64009.519576,16151,630.074378
-63651.269477,16151,645.995144
-63714.805757,16151,659.61442
-63641.295826,16151,673.802651
-64372.327665,16151,688.979943
-63737.157532,16151,707.055548
-63966.4328,16151,725.844387
-64557.111353,16151,741.453649
-64637.218813,16151,770.059309
-63579.127755,16151,801.18835
-63431.860791,16151,816.960775
-63571.81699,16151,831.040587
-63601.285634,16151,846.084999
-63927.164397,16151,866.262466
-64180.056596,16151,883.957447
-63648.038553,16151,902.572591
-63615.495476,16151,915.192813
-63902.560811,16151,929.037889
-63384.567098,16151,951.893046
-64058.37168,16151,967.570439
-63719.073186,16151,984.282492
-63440.766671,16151,1001.720715
-63369.634701,16151,1017.962554
-63708.778079,16151,1030.555071
-64201.23002,16151,1044.153089
-64290.722195,16151,1057.037514
-63810.266179,16151,1074.246548
-63154.412446,16151,1088.795306
-62784.363199,16151,1103.3444
-62572.073479,16151,1118.770099
-63424.651901,16151,1135.160634
-63328.555846,16151,1149.788955
-63343.118947,16151,1164.938274
-63349.838989,16151,1179.279979
-62855.806749,16151,1196.039654
-62215.364425,16151,1210.872886
-63402.840142,16151,1226.770084
-63615.351248,16151,1241.208909
-62908.250809,16151,1257.491604
-62716.438675,16151,1271.859047
-63286.840856,16151,1287.137037
-62942.417742,16151,1301.30677
-62841.749459,16151,1317.307726
-62644.87548,16151,1331.479357
-63502.857399,16151,1346.372293
-62553.560636,16151,1360.428319
