#{"t_start": 1752012191.883212, "env_id": "None"}
r,l,t
-72671.980153,16151,133.641908
-72327.351845,16151,263.408129
-71028.066244,16151,392.136319
-69259.205309,16151,520.606881
-66529.000195,16151,647.606785
-64320.607648,16151,775.387024
-62175.441714,16151,907.045339
-60909.871873,16151,1035.87065
-59793.313879,16151,1171.064599
-59198.571573,16151,1309.838427
-58821.697897,16151,1447.521576
-58555.407295,16151,1584.588864
-58134.649758,16151,1723.479068
-57829.13675,16151,1857.886136
-57724.543561,16151,1985.497712
-57667.238314,16151,2112.684075
-57642.191078,16151,2250.933866
-57555.921049,16151,2389.044673
-57626.806198,16151,2525.190754
-57510.632016,16151,2663.218803
-57501.18878,16151,2790.173729
-57445.325866,16151,2917.422291
-57465.883923,16151,3043.992743
-57371.309559,16151,3169.916481
-57449.074563,16151,3295.820477
-57193.038869,16151,3419.807323
-57240.957226,16151,3544.272651
-57376.755891,16151,3669.838938
-57485.313233,16151,3796.571148
-57324.605587,16151,3922.472143
-57410.953225,16151,4048.024427
-57474.282139,16151,4172.879634
-57453.206074,16151,4297.904227
-57575.959958,16151,4422.94006
-57413.978118,16151,4548.989377
-57611.96134,16151,4680.270013
-57657.906777,16151,4812.229626
-57751.685702,16151,4943.837969
-57644.745895,16151,5075.191959
-57596.665384,16151,5205.292394
-57679.305463,16151,5336.183328
-57673.738696,16151,5466.391202
-57637.229905,16151,5596.529356
-57921.780836,16151,5723.201944
-57840.449404,16151,5854.484482
-57765.629982,16151,5985.894724
-57664.174533,16151,6117.190027
-57661.532534,16151,6247.854695
-57669.884387,16151,6379.485836
-57749.832434,16151,6504.951447
-57703.667739,16151,6626.949446
-57687.87051,16151,6750.963902
-57731.199321,16151,6875.223004
-57573.750303,16151,6999.598835
-57597.085309,16151,7124.271013
-57543.414677,16151,7249.266497
-57586.351677,16151,7372.430581
-57762.169592,16151,7496.693769
-57529.400917,16151,7621.340405
-57672.550739,16151,7746.486766
-57601.219551,16151,7870.254664
-57652.283764,16151,7992.60058
-57479.416049,16151,8118.081922
-57681.123496,16151,8245.008925
-57815.571186,16151,8370.678703
-57704.452102,16151,8495.178471
-57754.474313,16151,8619.197035
-57658.508404,16151,8743.697053
-57790.803852,16151,8868.048771
-57761.100421,16151,8992.627679
-57588.101758,16151,9116.557131
-57759.583688,16151,9239.659445
-57691.879322,16151,9363.292014
-57560.090691,16151,9488.245819
-57528.781615,16151,9613.39427
-57573.562161,16151,9738.804532
-57558.806517,16151,9865.600946
-57580.008328,16151,9992.227716
-57586.777005,16151,10129.722234
-57432.183512,16151,10267.376258
-57288.215152,16151,10405.05086
-57575.17993,16151,10542.405931
-57536.718031,16151,10681.149563
-57539.258521,16151,10818.209815
-57388.137712,16151,10951.388846
-57423.387379,16151,11083.005195
-57339.000517,16151,11219.676832
-57431.481434,16151,11356.603747
-57525.646945,16151,11491.995023
